Account_ID,Account_Name,Industry,Segment,Country,Created_Date
ACC0001,Heath and Sons,Telecom,Enterprise,San Marino,2025-02-20
ACC0002,Cook and Sons,Technology,SMB,Italy,2024-02-20
ACC0003,Liu-Zhang,Healthcare,Enterprise,Timor-Leste,2024-03-09
ACC0004,King-West,Manufacturing,Enterprise,Colombia,2023-12-02
ACC0005,Murphy-Williams,Telecom,Enterprise,Luxembourg,2023-11-10
ACC0006,Moreno PLC,Telecom,SMB,Chile,2026-03-31
ACC0007,Mccoy LLC,Banking,Enterprise,Cote d'Ivoire,2025-06-17
ACC0008,"Bauer, Wilson and Scott",Banking,Mid-Market,New Zealand,2024-01-24
ACC0009,Richardson-Miller,Technology,Enterprise,Holy See (Vatican City State),2025-11-14
ACC0010,Anderson and Sons,Technology,Enterprise,Saint Martin,2024-11-04
ACC0011,"Hines, Fitzgerald and Mcdonald",Manufacturing,SMB,Isle of Man,2025-11-21
ACC0012,"Mcdaniel, Parker and Watson",Banking,Enterprise,Guinea-Bissau,2024-05-13
ACC0013,Fields-Cook,Banking,Enterprise,Timor-Leste,2025-11-18
ACC0014,"Allen, Goodwin and Clark",Telecom,SMB,Reunion,2023-11-09
ACC0015,Vaughn and Sons,Telecom,SMB,India,2026-02-03
ACC0016,"Perez, Yoder and Jones",Retail,Enterprise,Madagascar,2024-12-18
ACC0017,Myers Inc,Retail,SMB,Sri Lanka,2026-04-13
ACC0018,Osborn-Martin,Healthcare,Enterprise,Togo,2023-08-24
ACC0019,"Brooks, Bell and Taylor",Manufacturing,SMB,Bolivia,2024-06-29
ACC0020,Rodriguez-Moss,Retail,Mid-Market,Dominican Republic,2026-04-18
ACC0021,"Thomas, Williams and Thomas",Healthcare,Enterprise,French Southern Territories,2023-10-05
ACC0022,"Gardner, Davis and Carlson",Manufacturing,Mid-Market,South Georgia and the South Sandwich Islands,2025-07-06
ACC0023,"Zimmerman, Fernandez and Rose",Technology,Enterprise,Chile,2023-10-17
ACC0024,Wood PLC,Retail,Enterprise,Iraq,2026-04-30
ACC0025,Booth Ltd,Healthcare,Mid-Market,Seychelles,2023-12-26
ACC0026,Erickson-Elliott,Banking,Mid-Market,Libyan Arab Jamahiriya,2024-10-08
ACC0027,Best Group,Technology,SMB,Christmas Island,2025-07-20
ACC0028,"Villanueva, Moran and Long",Retail,SMB,British Indian Ocean Territory (Chagos Archipelago),2023-12-03
ACC0029,Ball Group,Technology,Mid-Market,Sierra Leone,2025-02-23
ACC0030,Lee Inc,Technology,SMB,Lesotho,2023-08-01
ACC0031,Bryan Ltd,Healthcare,SMB,Chad,2026-02-14
ACC0032,Parsons Ltd,Banking,Mid-Market,Isle of Man,2025-08-11
ACC0033,French-Leonard,Banking,Enterprise,Argentina,2023-07-29
ACC0034,Garza-Compton,Telecom,Enterprise,Reunion,2025-10-28
ACC0035,Allen-Johnson,Technology,SMB,Uganda,2024-09-15
ACC0036,Brown PLC,Manufacturing,Mid-Market,Syrian Arab Republic,2026-02-19
ACC0037,Vaughan-Hoffman,Technology,Enterprise,Brunei Darussalam,2025-02-22
ACC0038,Banks-Rodriguez,Technology,Mid-Market,Benin,2024-01-06
ACC0039,Charles-Robinson,Healthcare,Mid-Market,Armenia,2024-04-27
ACC0040,Gonzales-Parks,Telecom,Mid-Market,Falkland Islands (Malvinas),2024-08-17
ACC0041,Duncan Inc,Manufacturing,Mid-Market,Svalbard & Jan Mayen Islands,2023-07-23
ACC0042,"Coleman, White and Gray",Healthcare,Enterprise,Mauritania,2024-03-26
ACC0043,Mendoza-Saunders,Telecom,Mid-Market,Equatorial Guinea,2023-07-03
ACC0044,"Flores, Smith and Schultz",Telecom,SMB,Mozambique,2024-07-11
ACC0045,Jacobson-Hill,Telecom,Enterprise,Spain,2024-03-03
ACC0046,Heath-Waters,Banking,SMB,Lebanon,2025-06-29
ACC0047,Cooper LLC,Manufacturing,SMB,Comoros,2023-08-06
ACC0048,Rubio-Knight,Telecom,Enterprise,Micronesia,2026-01-17
ACC0049,"Jackson, Wallace and Reed",Manufacturing,Mid-Market,Albania,2024-05-24
ACC0050,Munoz-Stephens,Retail,Mid-Market,South Africa,2023-10-31
ACC0051,"White, Fowler and Bishop",Telecom,SMB,Tunisia,2025-11-10
ACC0052,Rios-Wiggins,Banking,Enterprise,Senegal,2025-07-04
ACC0053,"Hill, Golden and Carlson",Telecom,Mid-Market,Tonga,2023-12-19
ACC0054,"Singh, Webster and Benitez",Technology,Enterprise,Heard Island and McDonald Islands,2024-01-27
ACC0055,Diaz-Thompson,Technology,Mid-Market,Gambia,2024-12-05
ACC0056,Martinez Group,Retail,Mid-Market,Guinea,2026-01-12
ACC0057,"Ramirez, Chavez and Kemp",Technology,Enterprise,Bahrain,2023-12-14
ACC0058,Carrillo and Sons,Banking,SMB,Heard Island and McDonald Islands,2025-05-11
ACC0059,Logan-Cook,Healthcare,Enterprise,Netherlands,2025-07-15
ACC0060,Dawson-Caldwell,Telecom,Mid-Market,Micronesia,2024-08-29
ACC0061,Schwartz and Sons,Retail,SMB,Palestinian Territory,2024-11-25
ACC0062,Patton-Riley,Retail,Enterprise,Saint Helena,2024-08-26
ACC0063,Jennings-Wilson,Healthcare,Enterprise,Reunion,2024-12-16
ACC0064,Richards-Torres,Manufacturing,SMB,Colombia,2025-10-31
ACC0065,Mendoza-Montgomery,Banking,SMB,Palau,2024-04-30
ACC0066,Armstrong PLC,Healthcare,SMB,United States of America,2024-06-22
ACC0067,"Robles, Jones and Newman",Banking,Mid-Market,Monaco,2024-08-29
ACC0068,Horton Inc,Banking,Mid-Market,Libyan Arab Jamahiriya,2026-04-16
ACC0069,Johnson-Murray,Healthcare,Enterprise,Cocos (Keeling) Islands,2026-02-08
ACC0070,Scott-Stevens,Manufacturing,SMB,Guinea,2025-08-31
ACC0071,"Hernandez, Whitaker and Gray",Retail,Enterprise,Madagascar,2023-12-28
ACC0072,"Foster, Dean and Ramos",Technology,Enterprise,Ecuador,2024-05-18
ACC0073,"Smith, Lewis and Meza",Manufacturing,SMB,Cook Islands,2025-12-14
ACC0074,Salas Inc,Manufacturing,SMB,Paraguay,2023-12-04
ACC0075,Garrett-Wilson,Retail,SMB,Panama,2024-05-05
ACC0076,"Turner, Cordova and King",Technology,Mid-Market,Bermuda,2026-05-25
ACC0077,Morris-Baxter,Retail,SMB,Jersey,2024-10-16
ACC0078,Williams-Young,Retail,SMB,Bermuda,2024-07-01
ACC0079,"Stephens, Brown and Thompson",Healthcare,SMB,South Africa,2023-11-10
ACC0080,Monroe and Sons,Technology,SMB,Martinique,2023-11-15
ACC0081,Harris LLC,Telecom,Enterprise,Russian Federation,2026-02-23
ACC0082,Lee-Wallace,Telecom,SMB,Japan,2023-10-08
ACC0083,Rodriguez LLC,Healthcare,SMB,Heard Island and McDonald Islands,2026-06-06
ACC0084,Martin-White,Healthcare,Enterprise,Antigua and Barbuda,2023-08-05
ACC0085,Smith PLC,Healthcare,Mid-Market,Uzbekistan,2025-11-22
ACC0086,Henderson Ltd,Manufacturing,Mid-Market,Western Sahara,2023-10-17
ACC0087,"Becker, Hendrix and Wolfe",Technology,SMB,Norway,2023-09-01
ACC0088,Hebert Inc,Telecom,Mid-Market,Puerto Rico,2024-01-08
ACC0089,"Monroe, Atkins and Jones",Banking,Enterprise,Seychelles,2026-02-24
ACC0090,Barrera-Martin,Banking,Enterprise,Saint Lucia,2024-01-19
ACC0091,Johnson-Reyes,Telecom,Mid-Market,Puerto Rico,2025-03-08
ACC0092,Foster-Harrell,Telecom,SMB,Kuwait,2026-05-10
ACC0093,Shepherd PLC,Banking,Enterprise,Gambia,2023-08-10
ACC0094,"Jenkins, Myers and Cook",Manufacturing,Mid-Market,Dominican Republic,2024-11-25
ACC0095,"Wiggins, Robinson and Edwards",Manufacturing,SMB,Honduras,2024-04-15
ACC0096,Garcia-Rodriguez,Banking,Enterprise,Nigeria,2025-11-20
ACC0097,"Hicks, Randolph and Singleton",Banking,Mid-Market,Bouvet Island (Bouvetoya),2024-11-27
ACC0098,Elliott-Taylor,Retail,Enterprise,Saint Vincent and the Grenadines,2023-11-24
ACC0099,"King, Greene and Cohen",Technology,Mid-Market,Pitcairn Islands,2025-06-19
ACC0100,Ramirez-Reynolds,Healthcare,Enterprise,New Caledonia,2025-04-08
ACC0101,"Martin, Black and Moore",Technology,Enterprise,Ghana,2025-01-25
ACC0102,Henderson-Finley,Banking,Enterprise,Czech Republic,2025-07-23
ACC0103,Guerrero-Sanders,Technology,SMB,Netherlands Antilles,2025-10-18
ACC0104,Thomas-Thomas,Retail,Enterprise,Nepal,2023-12-02
ACC0105,Compton-Hernandez,Banking,Enterprise,Pitcairn Islands,2023-09-16
ACC0106,Hunter-Valentine,Manufacturing,SMB,Congo,2025-03-06
ACC0107,"Brooks, Benton and Martin",Retail,SMB,Zambia,2024-10-31
ACC0108,Landry and Sons,Manufacturing,Mid-Market,Tajikistan,2024-01-03
ACC0109,King-Flores,Banking,SMB,Sweden,2025-06-19
ACC0110,"Lee, Young and Wright",Retail,Enterprise,Kiribati,2025-06-28
ACC0111,"Zamora, Sanchez and Jenkins",Banking,SMB,Yemen,2024-09-04
ACC0112,"Wong, Brown and Lee",Telecom,Enterprise,French Southern Territories,2024-07-20
ACC0113,Martin Ltd,Telecom,Mid-Market,Moldova,2025-05-17
ACC0114,Schultz and Sons,Retail,SMB,Cyprus,2024-12-31
ACC0115,Webb and Sons,Telecom,Mid-Market,Burkina Faso,2026-02-12
ACC0116,Martinez-Sellers,Retail,SMB,Cuba,2023-10-07
ACC0117,Carney Group,Retail,Enterprise,Timor-Leste,2026-01-15
ACC0118,"Carson, Haynes and Brooks",Manufacturing,Enterprise,Burkina Faso,2023-07-15
ACC0119,Gray-Davis,Technology,Mid-Market,New Caledonia,2025-05-10
ACC0120,Hernandez and Sons,Technology,SMB,Montserrat,2024-02-26
ACC0121,Lewis and Sons,Banking,Enterprise,Portugal,2024-08-16
ACC0122,Ward Inc,Banking,Enterprise,Turkmenistan,2023-08-26
ACC0123,"Johnston, Gray and Oconnor",Technology,Enterprise,Mali,2025-02-24
ACC0124,Hernandez PLC,Telecom,SMB,Montserrat,2026-03-18
ACC0125,Farmer-Fernandez,Technology,Enterprise,Gabon,2025-07-15
ACC0126,"Myers, Mcintyre and Estes",Technology,Enterprise,Myanmar,2025-03-13
ACC0127,"Brown, Franklin and Reyes",Healthcare,Enterprise,Nicaragua,2024-12-26
