Feedback_ID,Case_ID,Rating
FB033553,CASE33554,4
FB009427,CASE09428,4
FB000199,CASE00200,3
FB012447,CASE12448,1
FB039489,CASE39490,4
FB042724,CASE42725,4
FB010822,CASE10823,4
FB049498,CASE49499,3
FB004144,CASE04145,1
FB036958,CASE36959,5
FB043106,CASE43107,5
FB038695,CASE38696,5
FB006188,CASE06189,3
FB001414,CASE01415,3
FB018471,CASE18472,4
FB029282,CASE29283,5
FB015177,CASE15178,3
FB034304,CASE34305,4
FB012609,CASE12610,4
FB012144,CASE12145,1
FB006113,CASE06114,5
FB015908,CASE15909,3
FB000821,CASE00822,4
FB015118,CASE15119,5
FB013466,CASE13467,4
FB026497,CASE26498,4
FB042111,CASE42112,4
FB030188,CASE30189,5
FB037237,CASE37238,5
FB033109,CASE33110,5
FB036480,CASE36481,4
FB024148,CASE24149,4
FB005503,CASE05504,5
FB003918,CASE03919,4
FB038478,CASE38479,3
FB021123,CASE21124,4
FB049717,CASE49718,3
FB042294,CASE42295,3
FB047609,CASE47610,4
FB011076,CASE11077,3
FB041514,CASE41515,4
FB022062,CASE22063,4
FB009413,CASE09414,3
FB038340,CASE38341,4
FB030263,CASE30264,5
FB041252,CASE41253,4
FB014644,CASE14645,3
FB026335,CASE26336,5
FB028102,CASE28103,4
FB017523,CASE17524,4
FB024712,CASE24713,2
FB040485,CASE40486,4
FB003850,CASE03851,3
FB040040,CASE40041,1
FB015267,CASE15268,4
FB049146,CASE49147,5
FB030001,CASE30002,3
FB045926,CASE45927,4
FB043824,CASE43825,5
FB017240,CASE17241,4
FB004892,CASE04893,3
FB000725,CASE00726,3
FB022949,CASE22950,4
FB034657,CASE34658,3
FB037213,CASE37214,3
FB020304,CASE20305,2
FB015269,CASE15270,5
FB022367,CASE22368,5
FB042684,CASE42685,4
FB046734,CASE46735,3
FB011732,CASE11733,5
FB018619,CASE18620,4
FB048492,CASE48493,2
FB026803,CASE26804,4
FB044305,CASE44306,2
FB047522,CASE47523,2
FB032207,CASE32208,4
FB002530,CASE02531,5
FB017746,CASE17747,4
FB008270,CASE08271,2
FB015079,CASE15080,3
FB013624,CASE13625,4
FB030638,CASE30639,5
FB030440,CASE30441,4
FB036056,CASE36057,4
FB042651,CASE42652,2
FB036803,CASE36804,3
FB048224,CASE48225,1
FB029226,CASE29227,4
FB005633,CASE05634,5
FB005987,CASE05988,1
FB048063,CASE48064,2
FB001812,CASE01813,5
FB027578,CASE27579,4
FB016823,CASE16824,4
FB003928,CASE03929,2
FB037286,CASE37287,5
FB025045,CASE25046,1
FB015727,CASE15728,4
FB029600,CASE29601,4
FB010430,CASE10431,3
FB025768,CASE25769,4
FB029103,CASE29104,4
FB036537,CASE36538,4
FB039328,CASE39329,5
FB035539,CASE35540,5
FB028075,CASE28076,2
FB017840,CASE17841,5
FB027802,CASE27803,1
FB007682,CASE07683,5
FB024279,CASE24280,3
FB033070,CASE33071,5
FB035557,CASE35558,3
FB037189,CASE37190,3
FB047149,CASE47150,5
FB046915,CASE46916,5
FB009801,CASE09802,5
FB038800,CASE38801,5
FB024669,CASE24670,5
FB044233,CASE44234,4
FB031919,CASE31920,5
FB007134,CASE07135,3
FB033704,CASE33705,4
FB029660,CASE29661,2
FB017893,CASE17894,4
FB022018,CASE22019,4
FB013538,CASE13539,3
FB043118,CASE43119,2
FB036420,CASE36421,4
FB009405,CASE09406,5
FB013413,CASE13414,5
FB006720,CASE06721,4
FB015601,CASE15602,1
FB044743,CASE44744,3
FB031138,CASE31139,4
FB002729,CASE02730,5
FB038242,CASE38243,5
FB029625,CASE29626,2
FB047894,CASE47895,3
FB042090,CASE42091,4
FB036399,CASE36400,3
FB006244,CASE06245,5
FB005545,CASE05546,3
FB004064,CASE04065,4
FB012851,CASE12852,2
FB021802,CASE21803,3
FB041163,CASE41164,4
FB006232,CASE06233,3
FB003862,CASE03863,5
FB035094,CASE35095,3
FB040195,CASE40196,3
FB039250,CASE39251,4
FB006217,CASE06218,3
FB036775,CASE36776,2
FB042976,CASE42977,4
FB048467,CASE48468,4
FB014831,CASE14832,4
FB030092,CASE30093,3
FB008893,CASE08894,5
FB006020,CASE06021,3
FB046088,CASE46089,4
FB015242,CASE15243,5
FB045307,CASE45308,4
FB026550,CASE26551,4
FB006034,CASE06035,4
FB007905,CASE07906,3
FB032225,CASE32226,5
FB006017,CASE06018,5
FB021879,CASE21880,4
FB002791,CASE02792,5
FB042605,CASE42606,4
FB005823,CASE05824,3
FB015387,CASE15388,3
FB029561,CASE29562,3
FB039475,CASE39476,3
FB000292,CASE00293,5
FB016957,CASE16958,3
FB030860,CASE30861,5
FB014073,CASE14074,4
FB021856,CASE21857,5
FB022079,CASE22080,5
FB017023,CASE17024,3
FB008739,CASE08740,4
FB015825,CASE15826,5
FB002741,CASE02742,5
FB018048,CASE18049,4
FB049936,CASE49937,2
FB017372,CASE17373,4
FB022021,CASE22022,4
FB046364,CASE46365,5
FB023537,CASE23538,5
FB045499,CASE45500,4
FB040185,CASE40186,5
FB009613,CASE09614,4
FB043281,CASE43282,1
FB037891,CASE37892,4
FB026178,CASE26179,5
FB045892,CASE45893,5
FB020933,CASE20934,2
FB040971,CASE40972,2
FB022224,CASE22225,4
FB024381,CASE24382,4
FB034855,CASE34856,4
FB048577,CASE48578,3
FB038536,CASE38537,4
FB031755,CASE31756,4
FB007753,CASE07754,5
FB046638,CASE46639,5
FB043834,CASE43835,3
FB026235,CASE26236,5
FB044229,CASE44230,5
FB049596,CASE49597,5
FB018552,CASE18553,3
FB043136,CASE43137,3
FB036672,CASE36673,4
FB043649,CASE43650,4
FB003940,CASE03941,5
FB031496,CASE31497,1
FB026593,CASE26594,5
FB023921,CASE23922,5
FB026402,CASE26403,1
FB045942,CASE45943,4
FB048525,CASE48526,3
FB018315,CASE18316,5
FB036893,CASE36894,5
FB026695,CASE26696,4
FB042127,CASE42128,5
FB014170,CASE14171,4
FB003732,CASE03733,3
FB007881,CASE07882,5
FB006016,CASE06017,5
FB023029,CASE23030,4
FB035473,CASE35474,5
FB049685,CASE49686,3
FB004817,CASE04818,3
FB041693,CASE41694,4
FB012007,CASE12008,5
FB041327,CASE41328,2
FB009506,CASE09507,4
FB044798,CASE44799,5
FB034062,CASE34063,4
FB027474,CASE27475,5
FB031143,CASE31144,5
FB021235,CASE21236,5
FB001390,CASE01391,1
FB038249,CASE38250,4
FB037624,CASE37625,5
FB042028,CASE42029,2
FB020834,CASE20835,3
FB014757,CASE14758,4
FB026396,CASE26397,5
FB006808,CASE06809,4
FB009225,CASE09226,5
FB048394,CASE48395,5
FB005395,CASE05396,4
FB006943,CASE06944,4
FB023870,CASE23871,1
FB032492,CASE32493,4
FB036345,CASE36346,4
FB010755,CASE10756,3
FB012301,CASE12302,4
FB048386,CASE48387,5
FB042745,CASE42746,3
FB029089,CASE29090,4
FB044712,CASE44713,4
FB014343,CASE14344,3
FB038172,CASE38173,4
FB005071,CASE05072,1
FB024121,CASE24122,5
FB048809,CASE48810,2
FB017820,CASE17821,4
FB001122,CASE01123,4
FB011264,CASE11265,4
FB030579,CASE30580,5
FB045464,CASE45465,5
FB048216,CASE48217,5
FB043044,CASE43045,3
FB015656,CASE15657,4
FB001900,CASE01901,5
FB000147,CASE00148,5
FB029642,CASE29643,3
FB003211,CASE03212,4
FB043850,CASE43851,5
FB002354,CASE02355,3
FB031520,CASE31521,5
FB042583,CASE42584,5
FB043337,CASE43338,5
FB045284,CASE45285,4
FB046956,CASE46957,1
FB048790,CASE48791,5
FB036585,CASE36586,3
FB010465,CASE10466,4
FB007821,CASE07822,5
FB007205,CASE07206,2
FB006413,CASE06414,2
FB034046,CASE34047,3
FB012728,CASE12729,5
FB006925,CASE06926,2
FB027995,CASE27996,5
FB037612,CASE37613,5
FB039483,CASE39484,5
FB003016,CASE03017,3
FB001640,CASE01641,5
FB008883,CASE08884,3
FB037601,CASE37602,5
FB012969,CASE12970,3
FB023463,CASE23464,3
FB015757,CASE15758,3
FB044076,CASE44077,3
FB004086,CASE04087,4
FB000508,CASE00509,2
FB006354,CASE06355,1
FB029644,CASE29645,5
FB020815,CASE20816,4
FB006234,CASE06235,1
FB031989,CASE31990,3
FB012995,CASE12996,4
FB042501,CASE42502,5
FB038920,CASE38921,3
FB000262,CASE00263,4
FB007891,CASE07892,4
FB010527,CASE10528,3
FB018600,CASE18601,3
FB024114,CASE24115,4
FB033498,CASE33499,4
FB013471,CASE13472,4
FB031725,CASE31726,5
FB023690,CASE23691,4
FB010557,CASE10558,4
FB006556,CASE06557,4
FB045577,CASE45578,2
FB041503,CASE41504,4
FB027872,CASE27873,5
FB010810,CASE10811,5
FB038214,CASE38215,5
FB011730,CASE11731,1
FB027438,CASE27439,4
FB021779,CASE21780,5
FB034079,CASE34080,4
FB022915,CASE22916,5
FB008085,CASE08086,5
FB043467,CASE43468,1
FB014709,CASE14710,3
FB015466,CASE15467,3
FB037172,CASE37173,4
FB028748,CASE28749,4
FB003104,CASE03105,5
FB000708,CASE00709,5
FB038385,CASE38386,5
FB023444,CASE23445,3
FB026510,CASE26511,5
FB008466,CASE08467,4
FB006230,CASE06231,5
FB046358,CASE46359,4
FB039357,CASE39358,4
FB016386,CASE16387,5
FB034165,CASE34166,4
FB004168,CASE04169,3
FB005803,CASE05804,5
FB012753,CASE12754,1
FB002189,CASE02190,5
FB012187,CASE12188,1
FB031727,CASE31728,4
FB019245,CASE19246,5
FB037866,CASE37867,3
FB043514,CASE43515,4
FB008718,CASE08719,1
FB028824,CASE28825,1
FB024468,CASE24469,4
FB048252,CASE48253,1
FB007201,CASE07202,4
FB009282,CASE09283,1
FB026820,CASE26821,3
FB027373,CASE27374,3
